Unnamed: 0,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
327,6,4,linear,0.016689907,0.022204359,CMA-ES
328,19,4,linear,0.460385421,0.015481472,CMA-ES
329,15,4,linear,0.610811749,0.017891328,CMA-ES
330,9,4,linear,0.900985932,0.025552564,CMA-ES
331,6,4,linear,0.579929754,0.01226298,CMA-ES
332,6,4,linear,1.002914571,0.011745691,CMA-ES
333,15,4,linear,0.721034854,0.011172533,CMA-ES
334,19,4,linear,0.680561937,0.015557477,CMA-ES
335,11,4,linear,0.512406689,0.017853737,CMA-ES
336,13,4,linear,0.977335906,0.022554361,CMA-ES
337,11,4,linear,0.974740609,0.026633284,CMA-ES
338,15,4,linear,0.766510825,0.019374927,CMA-ES
339,14,4,linear,0.412723789,0.013655935,CMA-ES
340,11,4,linear,0.118764259,0.014720722,CMA-ES
341,10,4,linear,0.470803934,0.016303802,CMA-ES
342,11,4,linear,1.027404936,0.009487607,CMA-ES
343,17,4,linear,0.746885221,0.015083762,CMA-ES
344,14,4,linear,0.732684145,0.016131571,CMA-ES
345,16,4,linear,0.815671941,0.017827868,CMA-ES
346,14,4,linear,0.71658055,0.009565643,CMA-ES
347,11,4,linear,0.575236088,0.02373975,CMA-ES
348,8,4,linear,0.332334627,0.020813376,CMA-ES
349,12,4,linear,0.139945935,0.019150913,CMA-ES
350,11,4,linear,0.697371007,0.009380189,CMA-ES
351,9,4,linear,0.424756071,0.007939551,CMA-ES
352,7,4,power,0.015030177,0.020436866,CMA-ES
353,12,4,power,0.525645445,0.023134927,CMA-ES
354,9,4,power,0.33787017,0.021751881,CMA-ES
355,18,4,power,0.355235853,0.017319057,CMA-ES
356,11,4,power,0.506290926,0.015717636,CMA-ES
357,8,4,power,0.698026628,0.017680109,CMA-ES
358,9,4,power,1.049557013,0.012388892,CMA-ES
359,7,4,power,0.002987288,0.023989575,CMA-ES
360,19,4,power,0.096862791,0.015665744,CMA-ES
361,13,4,power,0.779734969,0.027735233,CMA-ES
362,8,4,power,0.390764977,0.028750867,CMA-ES
363,14,4,power,0.477144493,0.020810349,CMA-ES
364,17,4,power,0.336407237,0.019032591,CMA-ES
365,14,4,power,0.021886381,0.014289941,CMA-ES
366,15,4,power,0.341333823,0.012864256,CMA-ES
367,11,4,power,0.009513479,0.016223626,CMA-ES
368,13,4,power,0.04744446,0.012697312,CMA-ES
369,4,4,power,0.000963473,0.017913997,CMA-ES
370,16,4,power,0.41393146,0.01257813,CMA-ES
